grouping,mc_run_id,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
meat 100+_female_50-59,500.5,11.574401589788,24.934026384375,21957.74879625,40.68060686677,2.4858210038229998,0.827111165117,424.9973254504,960.1969119566,46.34011022442,3.6463533707480003,11.102071124594,7302.956355244,10.710612747196,0.900945831236,0.260858927261,194.15667588601,354.253657762,11.509745377081,1753.0,female,meat100,50-59
meat 100+_female_60-69,500.5,11.520473391645,24.780218875941,22267.71239392,40.29917374579,2.482433462121,0.825564782097,418.7591540763,967.9023117247,46.20857629087,4.137640211084,12.907696393206999,7643.375147726,11.563611499643999,0.994605797002,0.293374588291,198.2252059076,375.0652495135,12.255156730579,843.0,female,meat100,60-69
meat 100+_female_70-79,500.5,11.990853394399,26.031131035218,22709.03190567,41.205292663209995,2.635513953897,0.85869091702,432.0518215774,980.5623297262999,47.78348446735,4.911353622008001,15.03343332573,8067.332514473,12.900690660474,1.239553950215,0.337892508292,222.84170821173,377.2001376916,14.468826495974001,274.0,female,meat100,70-79
meat 100+_male_20-29,500.5,12.104782205645,24.3387929863,24385.45583032,49.976520098870004,2.584397436414,0.917295174966,452.8146113061,1060.9659213278999,52.15612012213,4.34266177357,12.468973113482999,8983.223560011,19.252484398026002,1.085188437159,0.347972120107,235.53888042101,417.81877877109997,16.606170919878,132.0,male,meat100,20-29
meat 100+_male_30-39,500.5,11.178862348943,22.645744469674,23344.169109299997,44.00591223315,2.327435899816,0.8362978824289999,417.29456533279995,1020.4479221411001,46.53486610683,4.0126345690620004,11.937808924175,8613.427521045,13.597157942795,1.006421007825,0.29894227661600004,198.20987080059,426.2227364523,13.252894102821,260.0,male,meat100,30-39
meat 100+_male_40-49,500.5,11.493864090237999,24.185439015419,21888.21690015,43.07765507322,2.4413641330659996,0.840706541986,426.4205366705,932.6192650626,46.705030782479994,3.657694937741,10.870728082052999,7213.1884246770005,12.454752681399,0.8981005674670001,0.26537818090500004,192.91117351129,321.88440506259997,11.715813631675001,616.0,male,meat100,40-49
meat 100+_male_50-59,500.5,11.678040095756,24.765493737843002,22196.9159694,42.54071115132,2.493825428728,0.8457264702239999,424.30458832510004,948.0523525954,47.2816909799,3.893788335569,11.705876923999,7541.216544978999,13.449845892875999,0.961690883252,0.289777637542,198.59575193423,344.9643450466,12.849035179906,591.0,male,meat100,50-59
meat 100+_male_60-69,500.5,11.450175664626,24.237669950228,22420.08834903,41.51600199579,2.483418445581,0.836508023034,419.96893875899997,963.5665072567,46.82010154528,3.740422933688,11.483623578078001,7837.317655985999,11.451006784355,0.91127495514,0.2737617502,190.35673740162,358.0895782543,11.854497524725,543.0,male,meat100,60-69
meat 100+_male_70-79,500.5,12.263987428482,26.71411593829,22944.25012484,43.00108133287,2.670517895181,0.888626578572,446.02365470800004,982.8789450576,48.45935504749,4.88952590157,15.631483966606,7655.799379811,12.430479646576,1.160953770497,0.34313152256900004,226.25277735297,348.5964554012,13.972657392992,168.0,male,meat100,70-79
meat <50_female_20-29,500.5,5.38615768943,8.054259510441,16975.912723162,22.89732592445,1.00003505359,0.375466776556,258.6102001502,742.8158815584,25.07829222321,1.754839750187,3.1758603049049996,7725.552066929001,7.004886458906,0.439046548077,0.134816924478,151.84750034723,344.4321225373,7.887733577485,764.0,female,meat50,20-29
meat <50_female_30-39,500.5,5.489000437973,8.029116429525999,17506.085028827998,23.117937220600002,1.010241531789,0.374895624127,259.54539690769997,761.7751711725,25.79986944614,1.817809705962,3.13361498174,7456.776699188,6.940102142049,0.45994882498,0.13489399655200002,153.30574200564,341.7280055126,8.246248130284,1483.0,female,meat50,30-39
meat <50_female_40-49,500.5,5.604987137323,8.371516717811,17389.599271018,23.29449121494,1.050075268647,0.38242353352599995,264.79540581720005,756.5947246735001,26.27291677703,1.739884843132,3.24331636279,7361.183530591,6.597120955768,0.44757204744199997,0.130887228725,149.14938089954998,334.5635582601,7.706637606581,2093.0,female,meat50,40-49
meat <50_female_50-59,500.5,5.74381054721,8.589148020467,17812.886235386,23.68441199444,1.089556732367,0.390634887094,265.9874302747,789.6431718661,27.16503069295,1.7791548254360001,3.352008531807,7438.485546305,6.708531113094,0.460124582853,0.132378622011,152.32706215253,360.5655648887,7.789914427089,1698.0,female,meat50,50-59
meat <50_female_60-69,500.5,5.861660341356,8.773431483816001,18049.55935338,24.15851528864,1.1353581312280001,0.39727727146,274.48589453,803.4821626347999,27.929011252109998,1.753258612972,3.36111286766,7425.2767324900005,6.477623662459,0.457226978901,0.130659711649,152.54861212822001,354.87918299579997,7.740953033874,1047.0,female,meat50,60-69
meat <50_female_70-79,500.5,5.8360413618399996,8.743882449843001,18143.59588405,23.97036851379,1.1376710057850001,0.397391549699,273.3049905213,809.8738491242,27.64863836729,1.9307439108339999,3.58670302367,7355.91033761,7.073570110154,0.498777993444,0.138632456155,157.32968679047,367.88608925740004,8.364721711728,381.0,female,meat50,70-79
meat <50_male_20-29,500.5,5.842741220846,8.781104480255001,17395.332484898998,24.82010731089,1.087363454556,0.407855634625,277.0131676815,749.0094254059,26.93557725525,1.808272966109,3.16924793042,7259.720376272,7.365163083189,0.453345656251,0.141122431901,163.37742481496,345.08842605,8.230713924267,131.0,male,meat50,20-29
meat <50_male_30-39,500.5,5.9230542061469995,8.586602547979,18760.173884984,24.938596518369998,1.076925132086,0.40191142913,276.55064009370005,818.5919673994,27.601163847920002,1.955609410664,3.3022616306700003,8456.719082522999,8.272935610727,0.480553402239,0.147315146888,156.30987672974,463.0234752445,8.742305205062001,370.0,male,meat50,30-39
meat <50_male_40-49,500.5,5.8985248148350005,8.674020430288,17926.287470579,24.22462746291,1.080246619904,0.393784828899,274.40916204079997,772.622978487,27.479990244830002,1.872022550094,3.353913252246,7917.517063732,6.9424439121,0.48499849963700004,0.138813690972,161.97519205803,345.5857291211,8.438766435499,448.0,male,meat50,40-49
meat <50_male_50-59,500.5,5.932798636723,8.887673871456,17753.366154011,24.39007567145,1.115071943874,0.40359366154299997,280.050005136,772.4244996164,27.83150148846,1.774319231297,3.273300117154,7383.81045713,6.640308617464,0.479061616147,0.14174250736600003,162.48159909999998,330.8056224575,7.943297655731,410.0,male,meat50,50-59
meat <50_male_60-69,500.5,5.921724590470999,9.083406080365,17674.90274035,24.42084532885,1.126481213163,0.40629409411199996,275.3900345431,794.3768012882,27.69149666903,1.8279003554000002,3.506204899378,7877.547963778,7.138758644308,0.46278106368699995,0.142570656109,157.51443742077,392.78201902449996,7.803337324875001,364.0,male,meat50,60-69
