mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
1,fish_male_60-69,6.456611895,10.47991755,20589.37122,28.35016257,1.366521557,0.387461856,547.5958772,852.9500684,28.2812191,4.556929762,8.591877369,13248.49484,17.17736194,1.267616278,0.290198229,566.82299,527.0830906,16.80071088,159,male,fish,60-69
1,fish_male_70-79,6.383544415,10.40427127,23773.81375,29.64454508,1.292792375,0.394855884,508.467331,897.0187508,29.02606229,3.734346927,6.242930454,18677.67603,19.08720605,0.889947159,0.260752265,381.9244409,644.648304,15.05632321,68,male,fish,70-79
1,meat 100+_female_20-29,13.35883315,29.76093424,24360.42455,48.30498359,2.875391108,0.954125232,588.9789052,1027.041893,51.79443621,6.305591919,17.64444271,11200.63294,21.68972916,1.483859436,0.437142006,345.9849686,479.2323035,21.74716343,393,female,meat100,20-29
1,meat 100+_female_30-39,13.33142846,30.70383262,24723.57555,47.78976861,2.86015612,0.928858824,577.0938808,1014.401885,51.29730644,6.513620945,18.62463502,11390.08672,21.44754452,1.529844127,0.447301039,355.8915998,473.3312027,21.9184039,778,female,meat100,30-39
1,meat 100+_female_40-49,14.17303864,34.49172495,23802.0163,48.41033093,3.054223461,0.943084603,557.2175365,965.2161824,52.94022319,6.701240932,19.93846593,10928.95687,20.98022536,1.535657776,0.430688525,324.0242828,450.397332,21.61084008,1935,female,meat100,40-49
1,meat 100+_female_50-59,14.36603216,35.54199974,24062.9922,48.71957569,3.086763366,0.93267044,542.6803445,957.9550551,53.67972043,6.547702959,19.60056451,11125.40931,20.35398423,1.502717105,0.417115109,331.998144,440.3627518,21.41861973,1753,female,meat100,50-59
1,meat 100+_female_60-69,14.45531201,35.79354057,25035.53059,49.00440915,3.090742964,0.934870652,527.6301155,969.6090291,54.24910034,7.5916664,23.77331432,11637.38328,22.10377703,1.653923876,0.460073369,305.4721633,460.4710255,22.90610326,843,female,meat100,60-69
1,meat 100+_female_70-79,15.86140231,39.5228809,27857.96374,52.79461078,3.481597348,1.022927154,579.9704945,1044.492084,59.0385988,9.074708794,28.40914172,12909.98174,24.16917599,2.111345331,0.523315536,355.8315671,484.3285043,26.42032906,274,female,meat100,70-79
1,meat 100+_male_20-29,18.96586137,42.12452554,34137.25008,69.77640144,4.286816578,1.379548202,753.4764411,1380.118983,75.05894842,9.407560939,26.30193466,17311.62213,31.20515992,2.298637037,0.668206351,400.649246,632.5621541,34.12215618,132,male,meat100,20-29
1,meat 100+_male_30-39,16.21791839,36.70749964,31000.61756,60.22468112,3.507139321,1.159252515,666.7805812,1239.838054,61.91565123,7.904240277,22.977352,16218.84858,27.33121293,1.822724231,0.533660516,342.5504367,634.559715,26.49829883,260,male,meat100,30-39
